record_id,Hierarchy,Status,Name,Slug,Parent,Count,Description,Taxonomy,"Full hierarchy","Old Platform ID",View,Icon,"Listings Full Count","Custom Landing Page (optional)","Icon Option","Icon 2",Color,"Text Color","Seopress Redirections Type",Image,"Seopress Redirections Logged Status","Listing Type(s)"
7604,2,active,"English Language School",english-language-school,"Language School",9,,job_listing_category,"Language & Specialty Schools > Language School > English Language School",,https://visita.co.za/category/english-language-school/,,"{""businesses-services"":9}",,icon,,#ffffff,#4c5270,,,,"Community Spaces, All Businesses & Spaces"
13231,2,active,"French Language School",french-language-school,"Language School",0,,job_listing_category,"Language & Specialty Schools > Language School > French Language School",,https://visita.co.za/category/french-language-school/,,,,icon,,#ffffff,#4c5270,,,,"Community Spaces, All Businesses & Spaces"
13232,2,active,"Spanish Language School",spanish-language-school,"Language School",0,,job_listing_category,"Language & Specialty Schools > Language School > Spanish Language School",,https://visita.co.za/category/spanish-language-school/,,,,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
13234,2,active,"Zulu Language School",zulu-language-school,"Language School",0,,job_listing_category,"Language & Specialty Schools > Language School > Zulu Language School",,https://visita.co.za/category/zulu-language-school/,,,,icon,,#ffffff,#4c5270,,,,"Community Spaces, All Businesses & Spaces"
7587,1,active,"Music Instructor",music-instructor,"Language & Specialty Schools",8,,job_listing_category,"Language & Specialty Schools > Music Instructor",,https://visita.co.za/category/music-instructor/,,"{""businesses-services"":8}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
5641,0,active,"Laser Cutting Service",laser-cutting-service,0,35,,job_listing_category,"Laser Cutting Service",,https://visita.co.za/category/laser-cutting-service/,,"{""businesses-services"":35}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
5716,0,active,Laundromat,laundromat,0,65,,job_listing_category,Laundromat,,https://visita.co.za/category/laundromat/,,"{""businesses-services"":65}",,icon,,#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2024/07/Laundromat.jpg?wpId=181271,,"Businesses & Services, All Businesses & Spaces"
319,0,active,Laundry,laundry,0,154,,job_listing_category,Laundry,,https://visita.co.za/category/laundry/,,"{""businesses-services"":154}",,icon,,#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2024/07/Laundry.jpg?wpId=181272,,"Businesses & Services, All Businesses & Spaces"
480,0,active,"Laundry Service",laundry-service,0,405,,job_listing_category,"Laundry Service",,https://visita.co.za/category/laundry-service/,,"{""businesses-services"":404,""community-spaces"":1}",,icon,,#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2024/06/Laundry-service.jpg?wpId=180997,,"Businesses & Services, All Businesses & Spaces"
17256,0,active,"Leather goods store",leather-goods-store-2,0,0,,job_listing_category,"Leather goods store",,https://visita.co.za/category/leather-goods-store-2/,,,,icon,,,,,,,"Businesses & Services, All Businesses & Spaces"
5385,0,active,"Leather Repair Service",leather-repair-service,0,17,,job_listing_category,"Leather Repair Service",,https://visita.co.za/category/leather-repair-service/,,"{""businesses-services"":17}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
3185,0,active,"Legal Services",legal-services,0,406,,job_listing_category,"Legal Services",,https://visita.co.za/category/legal-services/,,"{""businesses-services"":1791}",,image,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2023/05/oqmzwnd3thu.jpg?wpId=52966,both,"Businesses & Services, All Businesses & Spaces"
3221,1,active,"Divorce Service",divorce-service,"Legal Services",6,,job_listing_category,"Legal Services > Divorce Service",,https://visita.co.za/category/divorce-service/,,"{""businesses-services"":6}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
