record_id,Name,Slug,Description,Full hierarchy,Icon,Image,parent_id_for_import,listing_type_corrected
788,Waterproofing Contractor,waterproofing-contractor,,Specialty Trade Contractors > Roofing Contractor > Waterproofing Contractor,,https://visita.co.za/wp-content/uploads/2024/07/Waterproofing-company.jpg?wpId=181448,492,Businesses & Services
5450,Swimming Pool Contractors,swimming-pool-contractor,,Specialty Trade Contractors > Swimming Pool Contractors,,https://visita.co.za/wp-content/uploads/2024/07/Swimming-pool-contractor.jpg?wpId=181412,16006,Businesses & Services
2031,Spice Store,spice-store,,Spice Store,,https://visita.co.za/wp-content/uploads/2024/07/Spice-store.jpg?wpId=181403,0,Businesses & Services
17250,Sporting goods store,sporting-goods-store-2,,Sporting goods store,,,0,Businesses & Services
5952,Sports,sports,,Sports,,,0,Businesses & Services
6050,Sports Activity Location,sports-activity-location,,Sports Activity Location,,,0,Businesses & Services
17964,Sports club,sports-club-2,,Sports club,,,0,Businesses & Services
13148,Sports Clubs & Organisations,sports-clubs-organisations,,Sports Clubs & Organisations,,,0,Businesses & Services
6347,Bowling Club,bowling-club,,Sports Clubs & Organisations > Bowling Club,,,13148,Businesses & Services
6348,Cricket Club,cricket-club,,Sports Clubs & Organisations > Cricket Club,,,13148,Businesses & Services
6060,Dance School,dance-school,,Sports Clubs & Organisations > Dance School,,,13148,Businesses & Services
6336,Football Club,football-club,,Sports Clubs & Organisations > Football Club,,,13148,Businesses & Services
5312,Golf Club,golf-club,,Sports Clubs & Organisations > Golf Club,,,13148,Businesses & Services
1075,Gymnastics Club,gymnastics-club,,Sports Clubs & Organisations > Gymnastics Club,,,13148,Businesses & Services
6349,Hockey Club,hockey-club,,Sports Clubs & Organisations > Hockey Club,,,13148,Businesses & Services
6355,Lawn Bowls Club,lawn-bowls-club,,Sports Clubs & Organisations > Lawn Bowls Club,,,13148,Businesses & Services
